x	0	=	888
y	0	=	242
x	1	=	818
y	1	=	230
x	2	=	807
y	2	=	114
x	3	=	614
y	3	=	44
x	4	=	442
y	4	=	138
x	5	=	686
y	5	=	153
x	6	=	597
y	6	=	179
x	7	=	392
y	7	=	207
x	8	=	270
y	8	=	153
x	9	=	488
y	9	=	303
x	10	=	446
y	10	=	391
x	11	=	678
y	11	=	246
x	12	=	788
y	12	=	286
x	13	=	836
y	13	=	302
x	14	=	891
y	14	=	449
x	15	=	721
y	15	=	385
x	16	=	601
y	16	=	490
x	17	=	455
y	17	=	586
x	18	=	520
y	18	=	630
x	19	=	396
y	19	=	645
x	20	=	48
y	20	=	1074
x	21	=	743
y	21	=	559
x	22	=	762
y	22	=	592
x	23	=	883
y	23	=	539
x	24	=	804
y	24	=	498
x	25	=	1060
y	25	=	584
x	26	=	1060
y	26	=	662
x	27	=	1074
y	27	=	728
x	28	=	643
y	28	=	15
x	29	=	628
y	29	=	0
x	30	=	844
y	30	=	230
x	31	=	858
y	31	=	244
x	32	=	856
y	32	=	206
x	33	=	824
y	33	=	182
x	34	=	767
y	34	=	114
x	35	=	747
y	35	=	180
x	36	=	775
y	36	=	180
x	37	=	796
y	37	=	180
x	38	=	836
y	38	=	248
x	39	=	720
y	39	=	153
x	40	=	785
y	40	=	218
x	41	=	768
y	41	=	248
x	42	=	788
y	42	=	268
x	43	=	831
y	43	=	217
x	44	=	857
y	44	=	242
x	45	=	857
y	45	=	250
x	46	=	857
y	46	=	263
x	47	=	857
y	47	=	281
x	48	=	981
y	48	=	410
x	49	=	1029
y	49	=	410
x	50	=	942
y	50	=	449
x	51	=	918
y	51	=	449
x	52	=	833
y	52	=	391
x	53	=	814
y	53	=	372
x	54	=	814
y	54	=	353
x	55	=	790
y	55	=	329
x	56	=	817
y	56	=	302
x	57	=	766
y	57	=	286
x	58	=	742
y	58	=	286
x	59	=	718
y	59	=	286
x	60	=	678
y	60	=	224
x	61	=	642
y	61	=	224
x	62	=	651
y	62	=	153
x	63	=	637
y	63	=	139
x	64	=	597
y	64	=	166
x	65	=	563
y	65	=	166
x	66	=	563
