x	0	=	861
y	0	=	318
x	1	=	820
y	1	=	298
x	2	=	809
y	2	=	147
x	3	=	610
y	3	=	44
x	4	=	441
y	4	=	103
x	5	=	680
y	5	=	233
x	6	=	592
y	6	=	180
x	7	=	369
y	7	=	138
x	8	=	247
y	8	=	103
x	9	=	422
y	9	=	251
x	10	=	334
y	10	=	316
x	11	=	650
y	11	=	287
x	12	=	718
y	12	=	352
x	13	=	766
y	13	=	370
x	14	=	732
y	14	=	549
x	15	=	629
y	15	=	436
x	16	=	507
y	16	=	421
x	17	=	353
y	17	=	492
x	18	=	438
y	18	=	601
x	19	=	294
y	19	=	551
x	20	=	30
y	20	=	980
x	21	=	600
y	21	=	576
x	22	=	548
y	22	=	658
x	23	=	669
y	23	=	607
x	24	=	651
y	24	=	549
x	25	=	846
y	25	=	744
x	26	=	924
y	26	=	822
x	27	=	924
y	27	=	888
x	28	=	623
y	28	=	15
x	29	=	623
y	29	=	0
x	30	=	846
y	30	=	298
x	31	=	861
y	31	=	285
x	32	=	861
y	32	=	247
x	33	=	853
y	33	=	215
x	34	=	770
y	34	=	170
x	35	=	748
y	35	=	233
x	36	=	776
y	36	=	233
x	37	=	776
y	37	=	254
x	38	=	820
y	38	=	316
x	39	=	721
y	39	=	233
x	40	=	748
y	40	=	271
x	41	=	718
y	41	=	314
x	42	=	718
y	42	=	334
x	43	=	833
y	43	=	285
x	44	=	830
y	44	=	349
x	45	=	822
y	45	=	357
x	46	=	809
y	46	=	370
x	47	=	787
y	47	=	370
x	48	=	822
y	48	=	510
x	49	=	870
y	49	=	510
x	50	=	783
y	50	=	549
x	51	=	759
y	51	=	549
x	52	=	732
y	52	=	491
x	53	=	732
y	53	=	472
x	54	=	732
y	54	=	453
x	55	=	732
y	55	=	423
x	56	=	766
y	56	=	389
x	57	=	696
y	57	=	330
x	58	=	696
y	58	=	306
x	59	=	677
y	59	=	287
x	60	=	628
y	60	=	265
x	61	=	592
y	61	=	229
x	62	=	645
y	62	=	233
x	63	=	631
y	63	=	219
x	64	=	592
y	64	=	167
x	65	=	559
y	65	=	167
x	66	=	559
y	66	=	131
x	67	=	559
y	67	=	95
x	68	=	592
y	68	=	62
x	69	=	641
y	69	=	15
x	70	=	670
y	70	=	15
x	71	=	755
y	71	=	82
x	72	=	769
y	72	=	82
x	73	=	809
y	73	=	122
x	74	=	790
y	74	=	103
x	75	=	728
y	75	=	109
x	76	=	711
y	76	=	56
x	77	=	610
y	77	=	28
