x	0	=	1021
y	0	=	273
x	1	=	1031
y	1	=	181
x	2	=	943
y	2	=	43
x	3	=	636
y	3	=	51
x	4	=	164
y	4	=	25
x	5	=	833
y	5	=	73
x	6	=	634
y	6	=	185
x	7	=	266
y	7	=	35
x	8	=	0
y	8	=	116
x	9	=	365
y	9	=	164
x	10	=	226
y	10	=	258
x	11	=	673
y	11	=	244
x	12	=	802
y	12	=	327
x	13	=	926
y	13	=	325
x	14	=	847
y	14	=	637
x	15	=	754
y	15	=	560
x	16	=	634
y	16	=	545
x	17	=	488
y	17	=	608
x	18	=	509
y	18	=	696
x	19	=	429
y	19	=	667
x	20	=	0
y	20	=	954
x	21	=	741
y	21	=	718
x	22	=	0
y	22	=	11935
x	23	=	837
y	23	=	11850
x	24	=	794
y	24	=	723
x	25	=	12857
y	25	=	23922
x	26	=	12857
y	26	=	24000
x	27	=	12831
y	27	=	24066
x	28	=	665
y	28	=	51
x	29	=	614
y	29	=	0
x	30	=	1057
y	30	=	207
x	31	=	16029
y	31	=	208
x	32	=	16029
y	32	=	92
x	33	=	946
y	33	=	84
x	34	=	903
y	34	=	43
x	35	=	906
y	35	=	115
x	36	=	1018
y	36	=	115
x	37	=	1018
y	37	=	137
x	38	=	1031
y	38	=	199
x	39	=	906
y	39	=	0
x	40	=	893
y	40	=	153
x	41	=	802
y	41	=	289
x	42	=	802
y	42	=	309
x	43	=	16002
y	43	=	181
x	44	=	955
y	44	=	273
x	45	=	947
y	45	=	273
x	46	=	947
y	46	=	286
x	47	=	947
y	47	=	304
x	48	=	937
y	48	=	598
x	49	=	985
y	49	=	598
x	50	=	898
y	50	=	637
x	51	=	874
y	51	=	637
x	52	=	847
y	52	=	579
x	53	=	847
y	53	=	560
x	54	=	866
y	54	=	541
x	55	=	788
y	55	=	463
x	56	=	907
y	56	=	344
x	57	=	779
y	57	=	350
x	58	=	755
y	58	=	326
x	59	=	736
y	59	=	307
x	60	=	673
y	60	=	222
x	61	=	634
y	61	=	222
x	62	=	833
y	62	=	0
x	63	=	819
y	63	=	0
x	64	=	634
y	64	=	172
x	65	=	634
y	65	=	139
x	66	=	669
y	66	=	139
x	67	=	669
y	67	=	102
x	68	=	636
y	68	=	69
x	69	=	683
y	69	=	51
x	70	=	712
y	70	=	51
x	71	=	797
y	71	=	84
x	72	=	881
y	72	=	0
x	73	=	920
y	73	=	20
x	74	=	901
y	74	=	20
x	75	=	797
y	75	=	111
x	76	=	753
y	76	=	66
x	77	=	652
y	77	=	51
x	78	=	652
y	78	=	0
x	79	=	99
y	79	=	0
x	80	=	61
y	80	=	0
x	81	=	33
y	81	=	0
x	82	=	595
y	82	=	92
x	83	=	578
y	83	=	92
x	84	=	578
y	84	=	78
x	85	=	254
y	85	=	78
x	86	=	201
y	86	=	25
x	87	=	514
y	87	=	137
x	88	=	491
y	88	=	160
x	89	=	287
y	89	=	14
x	90	=	287
y	90	=	4
x	91	=	301
y	91	=	0
x	92	=	364
y	92	=	0
x	93	=	582
y	93	=	185
x	94	=	601
y	94	=	185
x	95	=	616
y	95	=	252
x	96	=	589
y	96	=	252
x	97	=	561
y	97	=	280
x	98	=	561
y	98	=	244
x	99	=	546
y	99	=	229
x	100	=	403
y	100	=	202
x	101	=	561
y	101	=	338
x	102	=	561
y	102	=	367
x	103	=	718
y	103	=	524
x	104	=	754
y	104	=	536
x	105	=	754
y	105	=	519
x	106	=	754
y	106	=	339
x	107	=	728
y	107	=	313
x	108	=	673
y	108	=	258
x	109	=	772
y	109	=	560
x	110	=	806
y	110	=	560
x	111	=	708
y	111	=	606
x	112	=	725
y	112	=	623
x	113	=	794
y	113	=	692
x	114	=	765
y	114	=	694
x	115	=	741
y	115	=	640
x	116	=	692
y	116	=	620
x	117	=	674
y	117	=	602
x	118	=	649
y	118	=	560
x	119	=	724
y	119	=	560
x	120	=	693
y	120	=	560
x	121	=	620
y	121	=	545
x	122	=	584
y	122	=	545
x	123	=	551
y	123	=	545
x	124	=	511
y	124	=	585
x	125	=	509
y	125	=	673
x	126	=	509
y	126	=	684
x	127	=	509
y	127	=	608
x	128	=	509
y	128	=	645
x	129	=	741
y	129	=	747
x	130	=	741
y	130	=	792
x	131	=	786
y	131	=	11901
x	132	=	34
y	132	=	11901
x	133	=	837
y	133	=	11902
x	134	=	837
y	134	=	35902
x	135	=	12817
y	135	=	23922
x	136	=	875
y	136	=	11878
x	137	=	875
y	137	=	11850
x	138	=	847
y	138	=	11822
x	139	=	847
y	139	=	670
x	140	=	875
y	140	=	11909
x	141	=	915
y	141	=	11949
x	142	=	915
y	142	=	11980
x	143	=	12857
y	143	=	60
x	144	=	12857
y	144	=	0
x	145	=	36779
y	145	=	0
x	146	=	36857
y	146	=	0
x	147	=	36868
y	147	=	0
x	148	=	12857
y	148	=	24040
x	149	=	1016
y	149	=	598
x	150	=	0
y	150	=	0
x	151	=	189
y	151	=	0
x	152	=	213
y	152	=	0
x	153	=	132
y	153	=	55
x	154	=	100
y	154	=	55
x	155	=	78
y	155	=	77
x	156	=	39
y	156	=	116
x	157	=	164
y	157	=	55
x	158	=	779
y	158	=	66
x	159	=	738
y	159	=	51
x	160	=	919
y	160	=	67
x	161	=	310
y	161	=	79
x	162	=	206
y	162	=	183
x	163	=	206
y	163	=	219
x	164	=	226
y	164	=	239
x	165	=	255
y	165	=	287
x	166	=	305
y	166	=	337
x	167	=	501
y	167	=	533
x	168	=	501
y	168	=	557
x	169	=	501
y	169	=	595
x	170	=	348
y	170	=	748
x	171	=	264
y	171	=	832
x	172	=	142
y	172	=	954
x	173	=	45
y	173	=	954
x	174	=	1072
y	174	=	222
x	175	=	16029
y	175	=	112
x	176	=	16009
y	176	=	112
x	177	=	1031
y	177	=	150
x	178	=	1031
y	178	=	164
x	179	=	954
y	179	=	92
x	180	=	919
y	180	=	84
x	181	=	582
y	181	=	218
x	182	=	332
y	182	=	0
x	183	=	827
y	183	=	690
x	184	=	819
y	184	=	11826
x	185	=	847
y	185	=	623
x	186	=	847
y	186	=	605
x	187	=	944
y	187	=	286
x	188	=	926
y	188	=	304
x	189	=	924
y	189	=	184
x	190	=	819
y	190	=	289
x	191	=	893
y	191	=	128
x	192	=	865
y	192	=	264
x	193	=	815
y	193	=	314
x	194	=	926
y	194	=	43
x	195	=	903
y	195	=	56
x	196	=	934
y	196	=	87
x	197	=	919
y	197	=	616
x	198	=	834
y	198	=	560
x	199	=	822
y	199	=	560
x	200	=	721
y	200	=	620
x	201	=	674
y	201	=	620
x	202	=	649
y	202	=	577
x	203	=	819
y	203	=	11850
x	204	=	794
y	204	=	11826
x	205	=	174
y	205	=	35
x	206	=	0
y	206	=	151
x	207	=	145
y	207	=	6
x	208	=	231
y	208	=	70
x	209	=	206
y	209	=	70
x	210	=	206
y	210	=	159
x	211	=	206
y	211	=	203
x	212	=	323
y	212	=	183
