x	0	=	1039
y	0	=	465
x	1	=	1018
y	1	=	419
x	2	=	1012
y	2	=	268
x	3	=	821
y	3	=	127
x	4	=	654
y	4	=	78
x	5	=	878
y	5	=	293
x	6	=	824
y	6	=	298
x	7	=	619
y	7	=	234
x	8	=	497
y	8	=	181
x	9	=	589
y	9	=	340
x	10	=	501
y	10	=	386
x	11	=	824
y	11	=	399
x	12	=	901
y	12	=	473
x	13	=	946
y	13	=	491
x	14	=	919
y	14	=	657
x	15	=	797
y	15	=	540
x	16	=	674
y	16	=	566
x	17	=	527
y	17	=	560
x	18	=	612
y	18	=	669
x	19	=	468
y	19	=	619
x	20	=	39
y	20	=	1048
x	21	=	785
y	21	=	700
x	22	=	788
y	22	=	802
x	23	=	909
y	23	=	751
x	24	=	834
y	24	=	676
x	25	=	1035
y	25	=	852
x	26	=	1035
y	26	=	930
x	27	=	1035
y	27	=	996
x	28	=	850
y	28	=	127
x	29	=	850
y	29	=	112
x	30	=	1044
y	30	=	445
x	31	=	1058
y	31	=	406
x	32	=	1040
y	32	=	368
x	33	=	1032
y	33	=	336
x	34	=	972
y	34	=	291
x	35	=	939
y	35	=	354
x	36	=	967
y	36	=	354
x	37	=	988
y	37	=	375
x	38	=	1000
y	38	=	437
x	39	=	912
y	39	=	327
x	40	=	939
y	40	=	392
x	41	=	939
y	41	=	435
x	42	=	919
y	42	=	455
x	43	=	1031
y	43	=	406
x	44	=	1008
y	44	=	465
x	45	=	1000
y	45	=	473
x	46	=	987
y	46	=	473
x	47	=	969
y	47	=	491
x	48	=	1009
y	48	=	657
x	49	=	1057
y	49	=	657
x	50	=	970
y	50	=	657
x	51	=	946
y	51	=	657
x	52	=	919
y	52	=	599
x	53	=	900
y	53	=	580
x	54	=	900
y	54	=	561
x	55	=	900
y	55	=	537
x	56	=	927
y	56	=	510
x	57	=	879
y	57	=	473
x	58	=	855
y	58	=	449
x	59	=	855
y	59	=	430
x	60	=	824
y	60	=	371
x	61	=	824
y	61	=	335
x	62	=	878
y	62	=	258
x	63	=	864
y	63	=	258
x	64	=	824
y	64	=	285
x	65	=	788
y	65	=	249
x	66	=	788
y	66	=	214
x	67	=	788
y	67	=	178
x	68	=	821
y	68	=	145
x	69	=	868
y	69	=	145
x	70	=	897
y	70	=	174
x	71	=	982
y	71	=	192
x	72	=	996
y	72	=	206
x	73	=	1035
y	73	=	245
x	74	=	1016
y	74	=	226
x	75	=	955
y	75	=	219
x	76	=	938
y	76	=	174
x	77	=	837
y	77	=	127
x	78	=	819
y	78	=	109
x	79	=	809
y	79	=	99
x	80	=	771
y	80	=	61
x	81	=	743
y	81	=	33
x	82	=	808
y	82	=	114
x	83	=	789
y	83	=	95
x	84	=	772
y	84	=	78
x	85	=	744
y	85	=	78
x	86	=	691
y	86	=	78
x	87	=	770
y	87	=	145
x	88	=	724
y	88	=	191
x	89	=	640
y	89	=	213
x	90	=	640
y	90	=	203
x	91	=	654
y	91	=	213
x	92	=	717
y	92	=	276
x	93	=	772
y	93	=	298
x	94	=	791
y	94	=	298
x	95	=	764
y	95	=	364
x	96	=	737
y	96	=	391
x	97	=	710
y	97	=	391
x	98	=	669
y	98	=	350
x	99	=	654
y	99	=	350
x	100	=	599
y	100	=	350
x	101	=	768
y	101	=	449
x	102	=	797
y	102	=	478
x	103	=	797
y	103	=	504
x	104	=	824
y	104	=	513
x	105	=	824
y	105	=	496
x	106	=	824
y	106	=	480
x	107	=	824
y	107	=	454
x	108	=	824
y	108	=	413
x	109	=	815
y	109	=	558
x	110	=	849
y	110	=	558
x	111	=	797
y	111	=	585
x	112	=	797
y	112	=	624
x	113	=	797
y	113	=	639
x	114	=	809
